Totalt_antal_fall,Kumulativa_fall,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Södermanland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra_Götaland,Örebro,Östergötland,Antal_avlidna,Kumulativa_avlidna,Antal_intensivvardade,Kumulativa_intensivvardade,Statistikdatum
5073,266158,84,71,34,199,206,33,163,86,2,45,823,1621,179,176,66,157,117,326,448,147,90,3,6949,13,3325,01/12/2020
3491,261085,2,89,72,30,480,14,20,85,10,141,765,1054,6,102,27,13,72,108,275,60,66,10,6946,16,3312,30/11/2020
2752,257594,53,100,61,178,2,52,138,88,82,11,355,745,2,51,91,32,140,149,333,59,30,18,6936,23,3296,29/11/2020
3825,254842,62,98,11,68,7,39,112,95,37,72,377,1185,69,209,31,156,151,119,706,115,106,18,6918,20,3273,28/11/2020
6464,251017,15,89,26,237,157,51,131,124,160,110,1374,2190,105,238,78,144,141,154,704,139,97,26,6900,13,3253,27/11/2020
6906,244553,70,130,13,250,80,69,249,90,28,229,684,2499,104,272,76,159,277,262,1133,120,112,33,6874,28,3240,26/11/2020
6062,237647,48,166,92,194,221,82,141,138,186,155,978,2038,149,258,109,130,82,202,481,122,90,34,6841,24,3212,25/11/2020
5676,231585,66,103,17,232,137,24,263,70,73,114,967,1481,131,220,55,258,166,241,724,232,102,43,6807,28,3188,24/11/2020
3875,225909,51,111,12,52,171,39,26,53,59,213,959,989,51,146,26,18,248,212,280,102,57,47,6764,24,3160,23/11/2020
2422,222034,6,33,44,11,16,28,52,36,83,65,374,730,2,82,111,18,1,100,369,208,53,54,6717,30,3136,22/11/2020
4494,219612,45,104,24,185,39,66,200,48,0,146,381,1681,102,198,15,129,117,127,703,107,77,44,6663,20,3106,21/11/2020
5464,215118,9,79,13,195,116,79,169,89,112,123,500,1875,136,264,84,127,205,300,709,185,95,43,6619,15,3086,20/11/2020
7623,209654,111,206,26,398,163,145,300,88,142,130,1167,1844,131,401,82,164,278,267,1263,233,84,42,6576,22,3071,19/11/2020
4961,202031,61,88,20,60,130,17,206,58,139,92,628,1437,211,143,76,127,140,200,915,113,100,49,6534,20,3049,18/11/2020
4460,197070,5,74,29,158,52,84,336,88,31,138,648,1314,143,263,51,191,19,113,365,254,104,39,6485,24,3029,17/11/2020
2547,192610,14,49,17,10,25,27,35,41,47,42,634,645,73,78,45,8,159,156,260,120,62,36,6446,22,3005,16/11/2020
1582,190063,23,80,31,82,6,6,13,35,39,13,148,416,72,87,27,5,1,97,311,28,62,39,6410,18,2983,15/11/2020
3514,188481,46,109,45,65,12,70,135,24,151,69,87,1365,61,198,56,146,82,125,372,181,115,36,6371,20,2965,14/11/2020
6732,184967,37,85,35,163,293,8,233,96,153,110,1039,2247,147,239,80,97,125,316,939,222,68,32,6335,30,2945,13/11/2020
5565,178235,47,182,31,134,244,67,284,77,159,133,612,1695,120,268,99,118,126,76,770,247,76,27,6303,13,2915,12/11/2020
5709,172670,46,93,16,196,42,58,248,66,176,97,592,1965,172,232,87,158,44,209,835,263,114,27,6276,18,2902,11/11/2020
4498,166961,17,117,36,117,45,34,298,84,21,64,671,1254,116,168,29,157,122,180,600,196,172,35,6249,9,2884,10/11/2020
3726,162463,8,27,40,8,345,35,70,80,24,103,1425,548,31,165,41,7,89,83,361,84,152,34,6214,12,2875,09/11/2020
2097,158737,27,71,44,56,9,2,11,32,95,6,123,380,5,135,35,113,29,81,534,147,162,22,6180,16,2863,08/11/2020
4452,156640,27,94,7,63,21,14,257,34,161,127,193,1974,102,51,45,89,57,170,570,185,211,26,6158,16,2847,07/11/2020
